Gmt time,Open,High,Low,Close,Volume
23.07.2017 00:00:00.000,1.47507,1.47565,1.47046,1.47394,10163.5996
24.07.2017 00:00:00.000,1.47391,1.47583,1.46197,1.46838,158694.125
25.07.2017 00:00:00.000,1.46839,1.47276,1.46580,1.46811,168867.2813
26.07.2017 00:00:00.000,1.46812,1.47653,1.46474,1.46641,208008.8281
27.07.2017 00:00:00.000,1.46640,1.46673,1.45653,1.46584,205279.9844
28.07.2017 00:00:00.000,1.46582,1.47488,1.46470,1.47059,177093.0938
30.07.2017 00:00:00.000,1.47071,1.47264,1.46994,1.47170,12853.3203
31.07.2017 00:00:00.000,1.47163,1.48085,1.46849,1.47696,170648.2344
01.08.2017 00:00:00.000,1.47696,1.48485,1.47028,1.48439,181933.0156
02.08.2017 00:00:00.000,1.48439,1.49004,1.48242,1.48964,171269.4219
03.08.2017 00:00:00.000,1.48961,1.49587,1.48916,1.49322,173144.8438
04.08.2017 00:00:00.000,1.49326,1.49654,1.48213,1.48433,169296.0469
06.08.2017 00:00:00.000,1.48615,1.48637,1.48400,1.48552,14835.1904
07.08.2017 00:00:00.000,1.48552,1.49249,1.48342,1.49054,143312.875
08.08.2017 00:00:00.000,1.49054,1.49220,1.48246,1.48869,166535.0469
09.08.2017 00:00:00.000,1.48878,1.49371,1.48413,1.49040,190387.2656
10.08.2017 00:00:00.000,1.49037,1.49689,1.48470,1.49577,188415.2031
11.08.2017 00:00:00.000,1.49577,1.50107,1.49382,1.49673,179377.375
13.08.2017 00:00:00.000,1.49726,1.49863,1.49596,1.49602,11831.2305
14.08.2017 00:00:00.000,1.49603,1.50196,1.49322,1.49897,198836.4219
15.08.2017 00:00:00.000,1.49898,1.50147,1.49584,1.50025,213999.4844
16.08.2017 00:00:00.000,1.50026,1.50035,1.48246,1.48422,208373.4063
17.08.2017 00:00:00.000,1.48417,1.48796,1.47330,1.48766,227779.5938
18.08.2017 00:00:00.000,1.48765,1.48810,1.47941,1.48259,198027.1563
20.08.2017 00:00:00.000,1.48267,1.48322,1.48174,1.48311,9616.0303
21.08.2017 00:00:00.000,1.48312,1.49000,1.48076,1.48819,172131.625
22.08.2017 00:00:00.000,1.48817,1.48959,1.48314,1.48661,179676.6719
23.08.2017 00:00:00.000,1.48662,1.49666,1.48639,1.49353,206045.9531
24.08.2017 00:00:00.000,1.49353,1.49884,1.49222,1.49378,212320.2031
25.08.2017 00:00:00.000,1.49376,1.50346,1.48835,1.50227,201443.9688
27.08.2017 00:00:00.000,1.50666,1.50666,1.50333,1.50481,15694.1504
28.08.2017 00:00:00.000,1.50481,1.51413,1.49988,1.50944,203751.5625
29.08.2017 00:00:00.000,1.50945,1.51739,1.50165,1.50399,247454.6875
30.08.2017 00:00:00.000,1.50399,1.50925,1.49792,1.50397,222937.4375
31.08.2017 00:00:00.000,1.50397,1.50878,1.49718,1.49966,231860.1875
01.09.2017 00:00:00.000,1.49966,1.50437,1.48699,1.48757,212908.5156
03.09.2017 00:00:00.000,1.49475,1.49493,1.49008,1.49179,14678.4102
04.09.2017 00:00:00.000,1.49179,1.49914,1.49088,1.49713,182538.1563
05.09.2017 00:00:00.000,1.49710,1.49787,1.48349,1.48906,243311.375
06.09.2017 00:00:00.000,1.48912,1.49808,1.48592,1.48923,232978.3281
07.09.2017 00:00:00.000,1.48924,1.49966,1.48715,1.49290,252328.0469
08.09.2017 00:00:00.000,1.49288,1.49441,1.48654,1.49388,234361.3438
10.09.2017 00:00:00.000,1.49110,1.49373,1.49110,1.49297,14328.8496
11.09.2017 00:00:00.000,1.49293,1.49502,1.48810,1.49034,207422.0313
12.09.2017 00:00:00.000,1.49034,1.49401,1.48458,1.49333,204023.9375
13.09.2017 00:00:00.000,1.49331,1.49451,1.48759,1.48969,194975
14.09.2017 00:00:00.000,1.48971,1.49238,1.48124,1.48956,228614.6094
15.09.2017 00:00:00.000,1.48956,1.49668,1.48634,1.49207,200932.875
17.09.2017 00:00:00.000,1.48946,1.49363,1.48946,1.49297,10757.9297
18.09.2017 00:00:00.000,1.49295,1.50326,1.48714,1.50050,192324.6563
19.09.2017 00:00:00.000,1.50042,1.50321,1.49400,1.49817,210405.6563
20.09.2017 00:00:00.000,1.49814,1.49889,1.47918,1.48134,300746.0938
21.09.2017 00:00:00.000,1.48131,1.50677,1.48068,1.50618,327353.9063
22.09.2017 00:00:00.000,1.50613,1.51080,1.49886,1.50032,190737.7031
24.09.2017 00:00:00.000,1.49620,1.49931,1.49573,1.49796,13943.8799
25.09.2017 00:00:00.000,1.49797,1.50081,1.48956,1.49349,211423.875
26.09.2017 00:00:00.000,1.49349,1.49681,1.49015,1.49602,213566.8125
27.09.2017 00:00:00.000,1.49602,1.49899,1.49092,1.49681,217958.875
28.09.2017 00:00:00.000,1.49681,1.50744,1.49559,1.50115,195983.2188
29.09.2017 00:00:00.000,1.50121,1.51007,1.50066,1.50794,160941.9844
01.10.2017 00:00:00.000,1.50470,1.50682,1.50414,1.50573,9769.0498
02.10.2017 00:00:00.000,1.50573,1.50627,1.49765,1.49887,183311.0313
03.10.2017 00:00:00.000,1.49887,1.50542,1.49708,1.49914,188570.5938
04.10.2017 00:00:00.000,1.49913,1.49953,1.49439,1.49543,177157.2813
05.10.2017 00:00:00.000,1.49544,1.50482,1.49518,1.50339,173781.8281
06.10.2017 00:00:00.000,1.50337,1.51294,1.50198,1.50950,182840.7969
08.10.2017 00:00:00.000,1.50924,1.51055,1.50883,1.50963,10887.5
09.10.2017 00:00:00.000,1.50957,1.51489,1.50829,1.51340,138591.0781
10.10.2017 00:00:00.000,1.51339,1.51880,1.51097,1.51708,183946.0156
11.10.2017 00:00:00.000,1.51707,1.52412,1.51441,1.52042,190099.3594
12.10.2017 00:00:00.000,1.52040,1.52136,1.51130,1.51138,177001.7656
13.10.2017 00:00:00.000,1.51138,1.51296,1.49744,1.49784,170650.625
15.10.2017 00:00:00.000,1.49741,1.49916,1.49703,1.49818,9004.5703
16.10.2017 00:00:00.000,1.49819,1.50383,1.49504,1.50353,169010.5156
17.10.2017 00:00:00.000,1.50353,1.50391,1.49639,1.49957,169914.4219
18.10.2017 00:00:00.000,1.49957,1.50433,1.49823,1.50378,169232.2656
19.10.2017 00:00:00.000,1.50379,1.50577,1.49863,1.50458,190903.5625
20.10.2017 00:00:00.000,1.50457,1.50880,1.50256,1.50707,170847.625
22.10.2017 00:00:00.000,1.50405,1.50715,1.50394,1.50581,11566.8203
23.10.2017 00:00:00.000,1.50579,1.50699,1.50154,1.50474,162190.0313
24.10.2017 00:00:00.000,1.50473,1.51378,1.50371,1.51222,172294.7813
25.10.2017 00:00:00.000,1.51223,1.53520,1.51057,1.53347,202762.6094
26.10.2017 00:00:00.000,1.53347,1.53924,1.51871,1.51896,200877.9219
27.10.2017 00:00:00.000,1.51894,1.52543,1.51050,1.51168,185836.5469
29.10.2017 00:00:00.000,1.51178,1.51422,1.51070,1.51382,10978.2998
30.10.2017 00:00:00.000,1.51383,1.51778,1.51132,1.51384,161239.6563
31.10.2017 00:00:00.000,1.51384,1.52340,1.51330,1.52112,160702.7188
01.11.2017 00:00:00.000,1.52117,1.52239,1.51203,1.51478,182063.3125
02.11.2017 00:00:00.000,1.51478,1.51534,1.50862,1.51131,186355.6406
